Customer_ID,Gender,Region,Subscription_Plan,Payment_Method,Age,Days_Since_Last_Login,Customer_Service_Calls,Monthly_Spend,Churn
10132,Male,West,Plus,Credit card,,9,2.0,140.97,1
10133,Male,South,Plus,Credit card,20.0,73,2.0,135.03,0
10134,Male,West,Basic,Paypal,50.0,65,2.0,15.37,1
10135,Unknown,North,Pro,,32.0,101,4.0,99.31,1
10136,Male,West,Basic,Paypal,28.0,84,1.0,16.61,1
10137,Female,South,Basic,Credit card,39.0,157,2.0,0.0,1
10138,Female,East,Basic,Paypal,47.0,81,1.0,12.83,0
10139,Male,East,Basic,Paypal,22.0,34,0.0,42.45,0
10140,Unknown,East,Plus,Paypal,28.0,52,1.0,125.37,0
10141,Unknown,East,Pro,E-wallet,42.0,166,0.0,102.71,0
10142,Male,North,Plus,Paypal,36.0,111,1.0,,0
10143,Female,North,Pro,Credit card,45.0,21,2.0,94.68,1
10144,Male,South,Basic,Paypal,39.0,66,2.0,0.0,0
10145,Male,South,Pro,E-wallet,52.0,99,2.0,140.98,1
10146,Male,South,Plus,Credit card,35.0,79,5.0,201.09,1
10147,Female,South,Pro,Paypal,,99,2.0,92.74,1
10148,Female,West,Pro,Credit card,37.0,74,0.0,68.18,1
10149,Male,South,Plus,E-wallet,32.0,119,2.0,199.79,1
10150,Male,East,Basic,Crypto,,16,3.0,41.31,0
10151,Unknown,East,Pro,E-wallet,,146,0.0,123.33,0
10152,Male,East,Plus,,41.0,71,0.0,147.55,0
10153,Male,West,Plus,Credit card,43.0,123,0.0,142.03,0
10154,Female,South,Basic,Credit card,38.0,89,2.0,0.0,1
10155,Unknown,East,Pro,Crypto,39.0,50,0.0,147.51,0
10156,Male,East,Pro,Crypto,23.0,175,0.0,136.3,0
10157,Female,East,Basic,Crypto,28.0,56,3.0,4.43,1
10158,Female,East,Pro,E-wallet,42.0,137,3.0,,1
10159,Male,North,Basic,E-wallet,48.0,31,2.0,56.61,0
10160,Female,South,Basic,,,78,4.0,55.12,1
10161,Male,South,Basic,Crypto,,122,0.0,41.56,1
10162,Female,West,Pro,Crypto,34.0,121,1.0,65.92,1
10163,Female,North,Basic,Paypal,,67,0.0,17.23,0
10164,Female,West,Basic,Paypal,25.0,27,4.0,,1
10165,Male,East,Basic,Crypto,38.0,131,4.0,14.77,1
10166,Non-Binary,West,Basic,,49.0,76,3.0,105.46,1
10167,Male,East,Basic,Credit card,,139,2.0,24.45,1
10168,Male,East,Basic,,32.0,14,2.0,23.6,1
10169,Male,South,Pro,Credit card,38.0,28,2.0,71.66,1
10170,Female,South,Pro,Crypto,41.0,86,2.0,39.1,1
10171,Female,South,Basic,Paypal,37.0,12,2.0,63.2,1
10172,Male,South,Basic,Paypal,51.0,37,1.0,0.0,1
10173,Female,South,Pro,Credit card,34.0,109,1.0,98.66,0
10174,Male,North,Basic,Crypto,47.0,34,0.0,0.0,1
10175,Female,South,Plus,Paypal,27.0,167,3.0,177.97,1
10176,Male,West,Pro,Crypto,34.0,75,0.0,127.18,1
10177,Female,East,Basic,Crypto,21.0,109,0.0,54.62,0
10178,Male,South,Basic,Credit card,43.0,4,2.0,0.0,0
10179,Unknown,North,Pro,Crypto,32.0,1,0.0,45.15,1
10180,Male,West,Basic,Crypto,37.0,29,2.0,25.9,0
10181,Male,West,Basic,Credit card,30.0,98,2.0,0.0,1
10182,Male,East,Basic,Paypal,39.0,118,0.0,0.0,1
10183,Unknown,West,Pro,E-wallet,37.0,9,1.0,67.0,0
10184,Non-Binary,West,Pro,Crypto,24.0,72,2.0,107.63,1
10185,Male,West,Basic,Credit card,24.0,123,0.0,116.85,1
10186,Female,West,Pro,Paypal,33.0,37,0.0,91.79,0
10187,Non-Binary,North,Basic,Crypto,40.0,93,1.0,5.08,1
10188,Female,East,Pro,E-wallet,,118,2.0,130.83,1
10189,Female,South,Basic,Paypal,37.0,162,2.0,70.87,1
10190,Male,West,Pro,Credit card,44.0,70,0.0,116.85,0
10191,Male,North,Plus,,17.0,139,1.0,201.93,1
10192,Non-Binary,East,Basic,Credit card,,169,2.0,103.21,0
10193,Unknown,South,Basic,E-wallet,40.0,97,1.0,0.0,0
10194,Female,East,Basic,E-wallet,,176,2.0,25.38,0
10195,Male,North,Basic,Credit card,32.0,126,2.0,0.0,0
10196,Male,North,Basic,Crypto,22.0,66,0.0,51.15,1
10197,Female,North,Plus,Credit card,25.0,32,1.0,174.68,0
10198,Non-Binary,West,Plus,Paypal,53.0,103,3.0,175.32,1
10199,Non-Binary,North,Basic,Credit card,,140,0.0,10.73,1
10200,Female,South,Pro,E-wallet,23.0,147,5.0,97.68,1
10201,Female,West,Pro,Crypto,26.0,160,0.0,104.41,1
10202,Male,East,Pro,,22.0,33,0.0,68.17,0
10203,Male,South,Basic,E-wallet,34.0,49,4.0,0.0,1
10204,Non-Binary,West,Basic,E-wallet,,177,0.0,89.68,0
10205,Female,North,Basic,Paypal,27.0,136,2.0,62.8,1
10206,Male,East,Basic,E-wallet,,6,3.0,0.0,1
10207,Male,North,Pro,E-wallet,36.0,136,1.0,39.01,1
10208,Female,South,Pro,E-wallet,33.0,105,1.0,67.63,1
10209,Male,South,Basic,Crypto,,153,1.0,57.82,1
10210,Male,West,Basic,,29.0,129,2.0,0.0,1
10211,Female,South,Plus,Credit card,,4,0.0,108.73,1
10212,Female,East,Pro,Credit card,32.0,112,0.0,75.46,1
10213,Female,West,Plus,,34.0,65,2.0,166.44,1
10214,Male,East,Basic,Paypal,30.0,115,1.0,2.67,1
10215,Female,North,Pro,Paypal,28.0,137,0.0,97.17,0
10216,Male,East,Pro,Crypto,15.0,158,0.0,,1
10217,Male,East,Plus,Credit card,28.0,160,1.0,98.94,1
10218,Female,South,Basic,Crypto,41.0,107,2.0,42.22,1
10219,Female,North,Basic,E-wallet,42.0,110,0.0,56.19,1
10220,Non-Binary,South,Basic,Crypto,29.0,133,1.0,68.63,1
10221,Female,North,Plus,Paypal,46.0,13,-1.0,109.87,1
10222,Female,North,Plus,Credit card,33.0,77,0.0,182.12,1
10223,Male,East,Plus,Paypal,20.0,14,3.0,174.36,1
10224,Male,South,Plus,Paypal,17.0,120,2.0,233.01,1
10225,Male,East,Basic,Credit card,46.0,170,1.0,0.0,1
10226,Male,East,Basic,E-wallet,30.0,147,1.0,33.73,1
10227,Unknown,East,Basic,Credit card,21.0,20,3.0,28.3,0
10228,Male,North,Basic,Credit card,11.0,28,2.0,,1
10229,Non-Binary,South,Plus,Crypto,30.0,72,2.0,214.67,1
10230,Female,South,Plus,Credit card,38.0,92,2.0,123.79,1
10231,Female,East,Basic,Crypto,27.0,171,1.0,0.0,1
10232,Female,North,Pro,Paypal,23.0,161,3.0,77.45,1
10233,Female,South,Plus,Credit card,28.0,46,2.0,127.1,0
10234,Female,West,Basic,E-wallet,46.0,8,3.0,53.4,1
10235,Male,South,Basic,Crypto,20.0,111,3.0,30.27,0
10236,Female,East,Basic,Crypto,27.0,29,9.0,0.0,1
10237,Male,West,Basic,E-wallet,46.0,16,1.0,0.0,1
10238,Male,North,Pro,Crypto,,179,0.0,103.92,1
10239,Female,West,Basic,Crypto,,58,2.0,0.29,1
10240,Male,West,Basic,E-wallet,27.0,118,1.0,27.31,1
10241,Unknown,East,Plus,Paypal,34.0,131,1.0,,0
10242,Unknown,South,Pro,Credit card,28.0,167,0.0,39.88,0
10243,Unknown,North,Basic,Credit card,25.0,95,1.0,0.0,0
10244,Male,West,Plus,Credit card,23.0,134,1.0,184.96,1
10245,Male,East,Basic,Credit card,41.0,37,2.0,13.82,1
10246,Unknown,South,Basic,Credit card,33.0,31,4.0,77.85,1
10247,Female,West,Plus,Credit card,37.0,68,2.0,184.86,0
10248,Unknown,East,Basic,Crypto,35.0,66,0.0,43.83,1
10249,Unknown,East,Pro,Credit card,38.0,55,2.0,162.01,0
10250,Non-Binary,East,Basic,Crypto,31.0,19,2.0,7.21,0
10251,Male,North,Basic,,29.0,119,2.0,11.11,1
10252,Male,South,Pro,Paypal,25.0,144,1.0,110.58,1
10253,Non-Binary,West,Basic,Crypto,,143,2.0,28.13,1
10254,Male,South,Pro,Paypal,22.0,10,1.0,56.59,0
10255,Male,South,Pro,E-wallet,,140,3.0,58.83,1
10256,Female,West,Plus,Credit card,17.0,145,1.0,107.19,1
10257,Unknown,South,Pro,Paypal,20.0,13,5.0,88.93,1
10258,Female,North,Basic,Paypal,,33,2.0,57.72,0
10259,Female,West,Plus,E-wallet,36.0,85,2.0,157.19,1
10260,Male,West,Pro,E-wallet,29.0,124,1.0,116.23,1
10261,Female,East,Pro,E-wallet,,153,2.0,82.71,0
10262,Unknown,South,Plus,Crypto,17.0,169,4.0,148.27,1
10263,Male,West,Pro,Crypto,43.0,166,0.0,97.7,1
10264,Female,West,Basic,Paypal,,129,1.0,20.5,1
10265,Non-Binary,North,Pro,E-wallet,41.0,49,4.0,82.61,1
10266,Female,East,Basic,Paypal,,112,0.0,26.32,1
10267,Female,West,Basic,Credit card,15.0,143,2.0,0.0,1
10268,Female,North,Pro,E-wallet,34.0,61,1.0,96.13,0
10269,Male,West,Basic,Crypto,37.0,97,2.0,0.0,1
10270,Male,West,Basic,E-wallet,12.0,138,2.0,14.79,1
10271,Non-Binary,West,Basic,Paypal,53.0,126,3.0,113.52,0
10272,Non-Binary,North,Pro,Crypto,,29,3.0,128.5,1
10273,Non-Binary,South,Basic,,40.0,154,1.0,1.29,1
10274,Unknown,West,Pro,Credit card,22.0,85,1.0,46.5,0
10275,Female,West,Basic,Paypal,40.0,80,3.0,14.98,1
10276,Female,South,Basic,E-wallet,44.0,78,2.0,38.65,1
10277,Female,West,Basic,Credit card,36.0,136,3.0,,1
10278,Female,East,Pro,Paypal,,75,1.0,68.92,1
10279,Female,West,Basic,Crypto,25.0,129,0.0,76.83,0
10280,Female,East,Plus,Crypto,31.0,48,2.0,147.76,0
10281,Non-Binary,South,Plus,Paypal,28.0,47,1.0,121.17,0
10282,Male,North,Plus,E-wallet,,54,4.0,111.33,1
10283,Male,South,Plus,E-wallet,25.0,79,2.0,110.76,1
10284,Male,West,Basic,E-wallet,39.0,66,2.0,81.03,1
10285,Female,East,Pro,E-wallet,25.0,114,3.0,93.95,0
10286,Male,North,Pro,Paypal,31.0,111,1.0,82.31,1
10287,Female,West,Pro,Paypal,40.0,158,3.0,118.88,1
10288,Female,North,Plus,Crypto,26.0,106,2.0,192.25,0
10289,Male,North,Pro,Crypto,40.0,25,4.0,81.82,0
10290,Female,West,Plus,E-wallet,39.0,109,1.0,181.14,1
10291,Male,South,Basic,Credit card,31.0,65,0.0,0.0,0
10292,Male,West,Plus,Credit card,45.0,157,2.0,156.09,1
10293,Non-Binary,West,Pro,Crypto,34.0,100,1.0,80.08,1
10294,Male,South,Pro,Crypto,45.0,0,1.0,29.04,1
10295,Male,East,Basic,Paypal,51.0,69,3.0,14.19,1
10296,Female,West,Pro,Crypto,31.0,149,1.0,164.57,1
10297,Female,North,Plus,Crypto,40.0,112,2.0,177.55,1
10298,Male,West,Basic,,27.0,53,1.0,26.01,0
10299,Female,West,Pro,Credit card,23.0,141,0.0,-10.0,1
10300,Male,North,Basic,Credit card,32.0,13,2.0,99.56,0
10301,Male,South,Plus,Paypal,20.0,18,2.0,200.35,1
10302,Female,East,Basic,Credit card,24.0,153,3.0,56.26,1
10303,Female,East,Basic,E-wallet,39.0,58,5.0,13.1,1
10304,Female,North,Basic,E-wallet,28.0,149,1.0,0.0,1
10305,Female,South,Pro,,41.0,5,4.0,138.66,1
10306,Unknown,West,Basic,Crypto,36.0,62,2.0,,1
10307,Female,West,Pro,Crypto,52.0,76,3.0,84.51,1
10308,Male,West,Plus,E-wallet,39.0,73,1.0,107.41,0
10309,Female,West,Plus,,45.0,126,5.0,174.45,1
10310,Male,West,Basic,,38.0,146,2.0,21.58,1
10311,Female,North,Plus,Credit card,37.0,94,1.0,223.43,0
10312,Male,West,Pro,Credit card,45.0,9,3.0,84.16,0
10313,Male,West,Basic,E-wallet,40.0,36,3.0,25.08,1
10314,Unknown,South,Basic,Crypto,36.0,144,1.0,11.07,1
10315,Non-Binary,West,Basic,,36.0,132,0.0,16.14,1
10316,Female,East,Plus,,39.0,148,2.0,115.81,0
10317,Female,North,Basic,,27.0,117,2.0,71.24,1
10318,Male,North,Basic,,26.0,166,1.0,0.0,1
10319,Male,North,Pro,E-wallet,48.0,147,1.0,80.03,1
10320,Male,East,Pro,Crypto,52.0,142,3.0,98.22,1
10321,Female,West,Pro,Crypto,24.0,78,4.0,20.57,1
10322,Female,North,Pro,Credit card,27.0,52,1.0,62.32,0
10323,Female,East,Basic,,45.0,32,2.0,36.81,0
10324,Male,South,Plus,Credit card,39.0,121,2.0,,1
10325,Unknown,West,Basic,Credit card,40.0,171,1.0,29.09,1
10326,Female,East,Pro,Credit card,42.0,177,3.0,29.37,1
10327,Female,West,Pro,Credit card,31.0,31,2.0,35.27,1
10328,Female,South,Basic,,,78,1.0,54.93,1
10329,Female,East,Plus,E-wallet,36.0,155,3.0,199.05,1
10330,Male,West,Basic,Credit card,25.0,2,2.0,76.15,1
10331,Male,East,Basic,Paypal,37.0,52,0.0,27.9,1
10332,Female,North,Plus,Crypto,,169,2.0,184.05,0
10333,Male,West,Pro,E-wallet,,1,1.0,22.87,0
10334,Male,East,Pro,Paypal,35.0,120,2.0,33.43,1
10335,Male,North,Pro,Credit card,36.0,149,1.0,70.24,1
10336,Male,South,Plus,,31.0,152,2.0,155.67,1
10337,Non-Binary,West,Basic,Crypto,40.0,159,2.0,11.66,1
10338,Female,West,Basic,Paypal,,134,5.0,17.27,1
10339,Female,South,Basic,Credit card,47.0,61,0.0,-10.0,1
10340,Male,North,Basic,Crypto,,30,3.0,6.15,1
10341,Female,South,Pro,Credit card,24.0,62,1.0,30.46,1
10342,Female,West,Basic,Credit card,,36,1.0,75.72,0
10343,Male,East,Basic,E-wallet,35.0,67,3.0,0.0,1
10344,Female,North,Basic,Crypto,26.0,78,2.0,57.02,1
10345,Male,North,Pro,Crypto,,136,4.0,82.53,1
10346,Female,North,Plus,Credit card,38.0,45,2.0,180.79,0
10347,Female,South,Basic,Paypal,16.0,94,3.0,32.01,0
10348,Male,South,Pro,Crypto,,33,3.0,65.55,0
10349,Male,East,Basic,Paypal,36.0,107,-1.0,12.93,1
10350,Female,East,Pro,Paypal,12.0,59,1.0,123.44,0
10351,Female,North,Basic,Crypto,34.0,140,3.0,0.0,1
10352,Non-Binary,East,Basic,Paypal,35.0,35,0.0,18.4,0
10353,Female,South,Pro,Crypto,22.0,47,2.0,152.26,1
10354,Male,East,Plus,E-wallet,36.0,92,3.0,148.02,0
10355,Male,South,Basic,Crypto,34.0,5,1.0,30.58,0
10356,Female,East,Pro,Crypto,22.0,132,2.0,15.96,1
10357,Male,West,Pro,Crypto,43.0,102,1.0,74.93,1
10358,Female,South,Plus,E-wallet,,177,2.0,155.43,1
10359,Unknown,West,Basic,Paypal,31.0,73,1.0,18.55,1
10360,Female,South,Basic,E-wallet,32.0,73,0.0,47.98,1
10361,Male,East,Plus,,41.0,112,3.0,154.63,1
10362,Female,West,Basic,Crypto,31.0,151,3.0,0.44,0
10363,Female,East,Basic,Crypto,14.0,6,2.0,10.89,0
10364,Female,South,Basic,E-wallet,38.0,85,3.0,47.54,1
10365,Unknown,West,Plus,E-wallet,,57,2.0,107.74,1
10366,Male,North,Basic,E-wallet,30.0,148,1.0,19.51,0
10367,Unknown,East,Plus,E-wallet,48.0,160,0.0,163.84,0
10368,Unknown,South,Basic,Crypto,32.0,43,2.0,-10.0,1
10369,Male,West,Basic,Crypto,34.0,24,1.0,91.74,0
10370,Male,East,Basic,Credit card,39.0,94,2.0,49.55,1
10371,Male,West,Basic,E-wallet,39.0,115,3.0,26.4,1
10372,Male,East,Pro,E-wallet,24.0,142,3.0,133.31,1
10373,Male,East,Pro,Paypal,33.0,156,0.0,123.99,1
10374,Female,East,Basic,Paypal,34.0,82,6.0,,1
10375,Male,West,Basic,Crypto,36.0,51,0.0,62.63,1
10376,Male,West,Pro,Credit card,36.0,16,0.0,69.69,0
10377,Non-Binary,East,Plus,E-wallet,59.0,35,3.0,103.92,1
10378,Male,North,Pro,Credit card,22.0,162,2.0,118.35,1
10379,Non-Binary,North,Plus,Credit card,43.0,167,3.0,149.73,1
10380,Male,North,Basic,Crypto,45.0,150,1.0,31.92,1
10381,Male,South,Plus,Credit card,38.0,161,1.0,165.61,1
10382,Female,North,Basic,E-wallet,27.0,81,3.0,67.67,0
10383,Female,West,Basic,Crypto,50.0,127,3.0,3.47,1
10384,Non-Binary,North,Plus,Credit card,12.0,79,1.0,101.78,1
10385,Female,West,Plus,Crypto,,155,6.0,169.89,1
10386,Non-Binary,South,Pro,Crypto,45.0,59,1.0,132.67,1
10387,Male,West,Basic,Paypal,30.0,159,0.0,0.0,0
10388,Male,West,Basic,Crypto,49.0,57,1.0,37.04,1
10389,Female,West,Basic,Credit card,18.0,81,1.0,41.34,1
10390,Non-Binary,North,Plus,Paypal,22.0,43,1.0,,0
10391,Unknown,East,Basic,E-wallet,28.0,161,3.0,51.2,1
10392,Female,West,Plus,E-wallet,38.0,148,1.0,116.12,1
10393,Male,North,Basic,E-wallet,31.0,123,2.0,46.87,1
10394,Female,North,Plus,E-wallet,29.0,0,3.0,165.25,0
10395,Male,North,Plus,E-wallet,48.0,176,1.0,173.75,1
10396,Unknown,East,Basic,Credit card,49.0,96,1.0,0.0,1
10397,Non-Binary,East,Basic,Crypto,29.0,20,3.0,0.0,1
10398,Female,East,Plus,Paypal,16.0,98,0.0,118.3,0
10399,Female,East,Pro,Crypto,12.0,154,1.0,158.48,1
10400,Female,South,Pro,Crypto,36.0,147,1.0,86.93,1
10401,Male,East,Pro,Credit card,40.0,143,1.0,47.89,1
10402,Unknown,East,Basic,Credit card,34.0,47,5.0,40.16,1
10403,Female,East,Plus,Credit card,33.0,31,1.0,168.64,0
10404,Non-Binary,West,Basic,Paypal,25.0,31,2.0,47.49,0
10405,Male,West,Plus,Credit card,,123,0.0,116.1,1
10406,Non-Binary,East,Basic,Crypto,50.0,129,2.0,39.79,1
10407,Male,South,Pro,Paypal,11.0,21,2.0,,0
10408,Male,West,Basic,Credit card,33.0,51,0.0,0.82,1
10409,Unknown,North,Basic,Credit card,24.0,95,3.0,,1
10410,Male,West,Basic,Credit card,19.0,161,1.0,84.09,1
10411,Male,North,Pro,Crypto,22.0,144,1.0,95.77,1
10412,Unknown,West,Pro,Credit card,37.0,22,3.0,63.8,1
10413,Unknown,East,Plus,Crypto,38.0,32,4.0,164.43,1
10414,Female,West,Basic,Paypal,48.0,156,0.0,0.0,1
10415,Female,East,Pro,Credit card,34.0,18,3.0,145.03,1
10416,Female,East,Pro,E-wallet,16.0,120,0.0,148.38,0
10417,Male,West,Basic,E-wallet,31.0,68,1.0,91.74,0
10418,Male,North,Basic,Crypto,20.0,36,0.0,0.0,0
10419,Female,North,Basic,Credit card,,122,0.0,29.24,1
